year,sex,category,age_band,crashes,driver_deaths,share_of_crashes,region_scope
2014,women,De 65 a 74 años,65-74,50,1,0.0234962406,Spain without Cataluña and País Vasco
2023,women,De 65 a 74 años,65-74,46,0,0.03078982597,Spain without Cataluña and País Vasco
2014,women,De 65 y más años,65+ (all),63,1,0.02960526316,Spain without Cataluña and País Vasco
2023,women,De 65 y más años,65+ (all),60,0,0.04016064257,Spain without Cataluña and País Vasco
2014,women,De 75 a 84 años,75-84,13,0,0.006109022556,Spain without Cataluña and País Vasco
2023,women,De 75 a 84 años,75-84,14,0,0.0093708166,Spain without Cataluña and País Vasco
2014,women,De 85 y más años,85+,0,0,0,Spain without Cataluña and País Vasco
2023,women,De 85 y más años,85+,0,0,0,Spain without Cataluña and País Vasco
2014,women,Se desconoce,Unknown,22,0,0.01033834586,Spain without Cataluña and País Vasco
2023,women,Se desconoce,Unknown,9,0,0.006024096386,Spain without Cataluña and País Vasco
2014,women,Subtotal,Subtotal,2128,27,1,Spain without Cataluña and País Vasco
2023,women,Subtotal,Subtotal,1494,22,1,Spain without Cataluña and País Vasco
