outcome,outcome_label,denominator,denominator_label,year,count,exposure,rate,rate_low,rate_high,ratio_to_base,ratio_low,ratio_high,index
hospitalised_30d,Injured and hospitalised,count,"Count, no denominator",2021,7784,,7784,7612.02739,7958.878006,0.9037501451,0.8764690911,0.9318803516,90.37501451
hospitalised_30d,Injured and hospitalised,count,"Count, no denominator",2022,8502,,8502,8322.228001,8684.676916,0.9871125044,0.9579734748,1.017137866,98.71125044
hospitalised_30d,Injured and hospitalised,count,"Count, no denominator",2023,9265,,9265,9077.292854,9455.611619,1.075699524,1.044600709,1.107724182,107.5699524
hospitalised_30d,Injured and hospitalised,count,"Count, no denominator",2024,9561,,9561,9370.302908,9754.601405,1.110066179,1.078210561,1.142862968,111.0066179
hospitalised_30d,Injured and hospitalised,residents,"Per 100,000 residents",2019,8613,47087778,18.29137064,17.90709277,18.68181752,1,0.9705749943,1.030317086,100
hospitalised_30d,Injured and hospitalised,residents,"Per 100,000 residents",2020,6681,47344852,14.1113547,13.77498639,14.45386155,0.7714760683,0.7472148214,0.7965250513,77.14760683
hospitalised_30d,Injured and hospitalised,residents,"Per 100,000 residents",2021,7784,47346836,16.44038051,16.07716171,16.80973572,0.8988052803,0.8716734944,0.9267815725,89.88052803
hospitalised_30d,Injured and hospitalised,residents,"Per 100,000 residents",2022,8502,47781354,17.79355185,17.41731304,18.17587027,0.9727839539,0.9440678954,1.002373479,97.27839539
hospitalised_30d,Injured and hospitalised,residents,"Per 100,000 residents",2023,9265,48320520,19.17404862,18.78558603,19.56852207,1.048256525,1.017951096,1.079464177,104.8256525
hospitalised_30d,Injured and hospitalised,residents,"Per 100,000 residents",2024,9561,48821936,19.58341021,19.19281306,19.97995615,1.070636564,1.039912459,1.102268409,107.0636564
hospitalised_30d,Injured and hospitalised,licence_holders,"Per 100,000 licence holders",2019,8613,27311015,31.53672612,30.87418059,32.20990783,1,0.9705749943,1.030317086,100
hospitalised_30d,Injured and hospitalised,licence_holders,"Per 100,000 licence holders",2020,6681,27206036,24.5570505,23.97169112,25.15309234,0.778681034,0.7541932066,0.8039639544,77.8681034
hospitalised_30d,Injured and hospitalised,licence_holders,"Per 100,000 licence holders",2021,7784,27427559,28.38021422,27.7532076,29.01781382,0.899909969,0.8727448365,0.9279206459,89.9909969
hospitalised_30d,Injured and hospitalised,licence_holders,"Per 100,000 licence holders",2022,8502,27664075,30.73299939,30.0831602,31.39333925,0.9745145794,0.9457474338,1.004156746,97.45145794
hospitalised_30d,Injured and hospitalised,licence_holders,"Per 100,000 licence holders",2023,9265,27914572,33.19055008,32.51811582,33.87338921,1.052441207,1.022014797,1.083773441,105.2441207
hospitalised_30d,Injured and hospitalised,licence_holders,"Per 100,000 licence holders",2024,9561,28142470,33.9735638,33.2959506,34.66149704,1.077269837,1.046355377,1.109097661,107.7269837
hospitalised_30d,Injured and hospitalised,vehicles,"Per 100,000 registered vehicles",2019,8613,34434791,25.0124939,24.48701399,25.54640961,1,0.9705749943,1.030317086,100
hospitalised_30d,Injured and hospitalised,vehicles,"Per 100,000 registered vehicles",2020,6681,34765203,19.2174917,18.75940985,19.68393326,0.7683156974,0.7441538372,0.7932620666,76.83156974
hospitalised_30d,Injured and hospitalised,vehicles,"Per 100,000 registered vehicles",2021,7784,35178808,22.1269578,21.63810494,22.6240696,0.8846362095,0.8579321383,0.912171474,88.46362095
hospitalised_30d,Injured and hospitalised,vehicles,"Per 100,000 registered vehicles",2022,8502,35668443,23.83619605,23.33218751,24.34834881,0.9529715884,0.9248403803,0.9819584738,95.29715884
hospitalised_30d,Injured and hospitalised,vehicles,"Per 100,000 registered vehicles",2023,9265,36075238,25.68243625,25.16211495,26.2108087,1.026784308,0.9970996474,1.057352711,102.6784308
hospitalised_30d,Injured and hospitalised,vehicles,"Per 100,000 registered vehicles",2024,9561,36241784,26.38115166,25.85497146,26.91534557,1.054718964,1.024451647,1.085880525,105.4718964
hospitalised_30d,Injured and hospitalised,road_fuel,Per million tonnes of road fuel,2019,8613,28835308.82,298.6962981,292.421078,305.0722575,1,0.9705749943,1.030317086,100
hospitalised_30d,Injured and hospitalised,road_fuel,Per million tonnes of road fuel,2020,6681,23776340.53,280.9936202,274.2956557,287.8138185,0.9407335207,0.9111494945,0.9712781079,94.07335207
hospitalised_30d,Injured and hospitalised,road_fuel,Per million tonnes of road fuel,2021,7784,27095014.6,287.2853222,280.9383018,293.7395725,0.9617973976,0.9327641002,0.991734388,96.17973976
hospitalised_30d,Injured and hospitalised,road_fuel,Per million tonnes of road fuel,2022,8502,27921660.69,304.4947825,298.0563403,311.0372629,1.019412642,0.9893201301,1.05042049,101.9412642
hospitalised_30d,Injured and hospitalised,road_fuel,Per million tonnes of road fuel,2023,9265,27632863.39,335.2891761,328.4962809,342.1871807,1.122508642,1.090056561,1.155926855,112.2508642
hospitalised_30d,Injured and hospitalised,road_fuel,Per million tonnes of road fuel,2024,9561,28331339.64,337.4708052,330.739846,344.3042768,1.129812479,1.097390201,1.163192671,112.9812479
crashes,Injury crashes,count,"Count, no denominator",2019,104080,,104080,103448.6352,104714.2621,1,0.9914450965,1.008628721,100
crashes,Injury crashes,count,"Count, no denominator",2020,72959,,72959,72430.54341,73490.35452,0.7009896234,0.6943869823,0.7076550462,70.09896234
crashes,Injury crashes,count,"Count, no denominator",2021,89862,,89862,89275.4095,90451.48808,0.8633935434,0.8557219686,0.8711338942,86.33935434
crashes,Injury crashes,count,"Count, no denominator",2022,97916,,97916,97303.64494,98531.2525,0.9407763259,0.9326029408,0.949021343,94.07763259
crashes,Injury crashes,count,"Count, no denominator",2023,101306,,101306,100683.1185,101931.7789,0.9733474251,0.9649639683,0.981803716,97.33474251
