measure,billion_km_2022,billion_km_2024,km_ratio_2024_to_2022,fuel_ratio_2024_to_2022
All vehicle types,406.4493944,400.098103,0.9843737214,1.014672442
Cars,302.9485404,292.9908314,0.9671306917,1.014672442
