year,group,label,zone,measure,measure_label,count,n_vehicles,vehicle_km,per_billion_km,per_billion_km_low,per_billion_km_high,per_100k_vehicles,per_100k_vehicles_low,per_100k_vehicles_high,denominator
2022,motorcycle,Motorcycles,interurban,fatal_involvement,Vehicles involved in fatal crashes,287,3506772,9929154692,28.90477678,25.65708474,32.44973939,8.18416481,7.264605833,9.187893655,"national fleet and vehicle-km, 2022"
2022,car,Cars,interurban,fatal_involvement,Vehicles involved in fatal crashes,1024,23173813,3.029485404e+11,3.380112011,3.176227918,3.593650524,4.418780802,4.152245518,4.697937197,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",interurban,fatal_involvement,Vehicles involved in fatal crashes,210,4220394,6.254020128e+10,3.357840168,2.919020134,3.844009437,4.975838749,4.325570237,5.696272053,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",interurban,fatal_involvement,Vehicles involved in fatal crashes,251,493815,2.646768512e+10,9.483262283,8.346255309,10.73193673,50.82875166,44.73457822,57.52144468,"national fleet and vehicle-km, 2022"
2022,bus,Buses,interurban,fatal_involvement,Vehicles involved in fatal crashes,23,57532,2681408891,8.577580271,5.437450098,12.87058196,39.97775151,25.34246513,59.98625616,"national fleet and vehicle-km, 2022"
2022,moped,Mopeds,urban,fatal_involvement,Vehicles involved in fatal crashes,18,1070004,1882404089,9.562240171,5.667189548,15.112462,1.682236702,0.9970000841,2.658659245,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,urban,fatal_involvement,Vehicles involved in fatal crashes,145,3506772,9929154692,14.60345865,12.32328986,17.18321584,4.134856786,3.489244562,4.865295155,"national fleet and vehicle-km, 2022"
2022,car,Cars,urban,fatal_involvement,Vehicles involved in fatal crashes,275,23173813,3.029485404e+11,0.9077449248,0.8036181363,1.021618818,1.186684297,1.050560568,1.335550303,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",urban,fatal_involvement,Vehicles involved in fatal crashes,68,4220394,6.254020128e+10,1.087300626,0.8443314807,1.378412627,1.611223976,1.251178462,2.042610314,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",urban,fatal_involvement,Vehicles involved in fatal crashes,33,493815,2.646768512e+10,1.246803408,0.8582420967,1.750975541,6.682664561,4.600038794,9.384945631,"national fleet and vehicle-km, 2022"
2022,bus,Buses,urban,fatal_involvement,Vehicles involved in fatal crashes,19,57532,2681408891,7.08582718,4.26613084,11.06539688,33.02509908,19.88326699,51.5727831,"national fleet and vehicle-km, 2022"
2022,moped,Mopeds,all,occupant_deaths,Occupants killed (drivers and passengers),36,1070004,1882404089,19.12448034,13.39455092,26.47634202,3.364473404,2.356435809,4.657849362,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,all,occupant_deaths,Occupants killed (drivers and passengers),401,3506772,9929154692,40.38611669,36.52952634,44.53909526,11.43501773,10.34305389,12.61090161,"national fleet and vehicle-km, 2022"
2022,car,Cars,all,occupant_deaths,Occupants killed (drivers and passengers),681,23173813,3.029485404e+11,2.247906523,2.082223157,2.423266945,2.938661842,2.72206592,3.167908466,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",all,occupant_deaths,Occupants killed (drivers and passengers),98,4220394,6.254020128e+10,1.566992079,1.272159914,1.909661431,2.322058083,1.885158994,2.82984504,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",all,occupant_deaths,Occupants killed (drivers and passengers),51,493815,2.646768512e+10,1.926877994,1.43468723,2.533488708,10.32775432,7.689691451,13.57908961,"national fleet and vehicle-km, 2022"
2022,bus,Buses,all,occupant_deaths,Occupants killed (drivers and passengers),13,57532,2681408891,4.848197544,2.581461005,8.290565454,22.59612042,12.03148246,38.64005409,"national fleet and vehicle-km, 2022"
2022,moped,Mopeds,interurban,occupant_deaths,Occupants killed (drivers and passengers),20,1070004,1882404089,10.6247113,6.489849685,16.40900489,1.869151891,1.141726534,2.886753498,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,interurban,occupant_deaths,Occupants killed (drivers and passengers),275,3506772,9929154692,27.69621469,24.51920118,31.17062221,7.841969766,6.942422872,8.825721482,"national fleet and vehicle-km, 2022"
2022,car,Cars,interurban,occupant_deaths,Occupants killed (drivers and passengers),614,23173813,3.029485404e+11,2.02674685,1.869584799,2.193592468,2.649542395,2.444086289,2.867657715,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",interurban,occupant_deaths,Occupants killed (drivers and passengers),89,4220394,6.254020128e+10,1.423084643,1.142853823,1.751228109,2.108807851,1.693545867,2.595069522,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",interurban,occupant_deaths,Occupants killed (drivers and passengers),50,493815,2.646768512e+10,1.889096072,1.402123517,2.490537664,10.12524933,7.515155218,13.34887897,"national fleet and vehicle-km, 2022"
2022,bus,Buses,interurban,occupant_deaths,Occupants killed (drivers and passengers),11,57532,2681408891,4.102320999,2.047863862,7.340185445,19.1197942,9.544532377,34.21059326,"national fleet and vehicle-km, 2022"
2022,moped,Mopeds,urban,occupant_deaths,Occupants killed (drivers and passengers),16,1070004,1882404089,8.499769041,4.858352415,13.80309241,1.495321513,0.8547054454,2.428308455,"national fleet and vehicle-km, 2022"
2022,motorcycle,Motorcycles,urban,occupant_deaths,Occupants killed (drivers and passengers),126,3506772,9929154692,12.689902,10.57102726,15.10894504,3.593047965,2.99310491,4.277981362,"national fleet and vehicle-km, 2022"
2022,car,Cars,urban,occupant_deaths,Occupants killed (drivers and passengers),67,23173813,3.029485404e+11,0.2211596726,0.1713957085,0.2808649664,0.289119447,0.2240636003,0.3671714777,"national fleet and vehicle-km, 2022"
2022,van_light_truck,"Vans and trucks up to 3,500 kg",urban,occupant_deaths,Occupants killed (drivers and passengers),9,4220394,6.254020128e+10,0.1439074358,0.06580364331,0.2731811395,0.2132502321,0.09751158535,0.4048153668,"national fleet and vehicle-km, 2022"
2022,heavy_truck,"Trucks over 3,500 kg",urban,occupant_deaths,Occupants killed (drivers and passengers),1,493815,2.646768512e+10,0.03778192144,0.0009565554324,0.2105073929,0.2025049867,0.005126982369,1.128285571,"national fleet and vehicle-km, 2022"
2022,bus,Buses,urban,occupant_deaths,Occupants killed (drivers and passengers),2,57532,2681408891,0.7458765453,0.09032910996,2.694362539,3.476326218,0.4209992327,12.55768558,"national fleet and vehicle-km, 2022"
