period,deaths,fitted_main,counterfactual_main,post,fitted_linear,counterfactual_linear
2006-08-01,331,380.7955763,407.3401677,True,381.5375683,431.8805991
2006-09-01,350,324.53683,345.0717713,True,325.0996169,366.7367495
2006-10-01,317,328.9888724,347.7016505,True,329.490217,370.4180013
2006-11-01,319,303.2477123,318.5687538,True,303.647343,340.1971185
2006-12-01,324,329.1884112,343.7401652,True,329.6194815,368.0320183
2007-01-01,286,298.6996987,310.0277926,True,297.4576351,330.9858581
2007-02-01,264,267.3602798,275.8308455,True,266.268453,295.2674807
2007-03-01,351,298.4896112,306.0943152,True,297.294113,328.5441954
2007-04-01,303,294.0809038,299.7595085,True,292.9273617,322.6108841
2007-05-01,324,305.6195879,309.6473941,True,304.4472743,334.1509894
2007-06-01,313,331.3072758,333.6547541,True,330.0664825,361.0303165
2007-07-01,385,377.3082666,377.6963294,True,378.14079,412.1994048
2007-08-01,363,377.8120486,375.9259861,True,378.7873645,411.4915321
2007-09-01,361,321.9940888,318.4597449,True,322.7562299,349.4231212
2007-10-01,337,326.4112495,320.8868071,True,327.1151816,352.9305812
2007-11-01,239,300.871771,294.0006472,True,301.4585885,324.1364252
