year,group,label,n_vehicles,vehicle_km,injury_involvement,injury_involvement_per_bn_km,injury_involvement_per_100k_vehicles,fatal_involvement,fatal_involvement_per_bn_km,fatal_involvement_per_100k_vehicles
2022,van,Vans,2266269,35841724579.44,9665,269.66,426.47,215,6.0,9.49
2022,light_truck,"Trucks up to 3,500 kg",1954125,26698476701.11,1754,65.7,89.76,63,2.36,3.22
