year,group,label,series_column,deaths_30d,has_km_denominator
2003,bus,Buses,Autobuses,27,True
2003,other,Other vehicles,Otros,57,False
2004,bicycle,Bicycles,Bicicletas,89,False
2004,vmp,Personal mobility vehicles,VMP,,False
2004,moped,Mopeds,Ciclomotores,361,True
2004,motorcycle,Motorcycles,Motocicletas,400,True
2004,car,Cars,Turismos,2693,True
2004,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,292,True
2004,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,150,True
2004,bus,Buses,Autobuses,4,True
2004,other,Other vehicles,Otros,69,False
2005,bicycle,Bicycles,Bicicletas,82,False
2005,vmp,Personal mobility vehicles,VMP,,False
2005,moped,Mopeds,Ciclomotores,313,True
2005,motorcycle,Motorcycles,Motocicletas,472,True
2005,car,Cars,Turismos,2393,True
2005,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,245,True
2005,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,140,True
2005,bus,Buses,Autobuses,26,True
2005,other,Other vehicles,Otros,91,False
2006,bicycle,Bicycles,Bicicletas,75,False
2006,vmp,Personal mobility vehicles,VMP,,False
2006,moped,Mopeds,Ciclomotores,308,True
2006,motorcycle,Motorcycles,Motocicletas,481,True
2006,car,Cars,Turismos,2096,True
2006,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,268,True
2006,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,135,True
2006,bus,Buses,Autobuses,35,True
2006,other,Other vehicles,Otros,93,False
2007,bicycle,Bicycles,Bicicletas,89,False
2007,vmp,Personal mobility vehicles,VMP,,False
2007,moped,Mopeds,Ciclomotores,248,True
2007,motorcycle,Motorcycles,Motocicletas,632,True
2007,car,Cars,Turismos,1821,True
2007,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,230,True
2007,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,92,True
2007,bus,Buses,Autobuses,15,True
2007,other,Other vehicles,Otros,105,False
2008,bicycle,Bicycles,Bicicletas,54,False
2008,vmp,Personal mobility vehicles,VMP,,False
2008,moped,Mopeds,Ciclomotores,183,True
2008,motorcycle,Motorcycles,Motocicletas,495,True
2008,car,Cars,Turismos,1504,True
2008,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,182,True
2008,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,81,True
2008,bus,Buses,Autobuses,27,True
2008,other,Other vehicles,Otros,72,False
2009,bicycle,Bicycles,Bicicletas,56,False
2009,vmp,Personal mobility vehicles,VMP,,False
2009,moped,Mopeds,Ciclomotores,156,True
2009,motorcycle,Motorcycles,Motocicletas,438,True
2009,car,Cars,Turismos,1267,True
2009,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,170,True
2009,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,69,True
2009,bus,Buses,Autobuses,21,True
2009,other,Other vehicles,Otros,67,False
2010,bicycle,Bicycles,Bicicletas,67,False
2010,vmp,Personal mobility vehicles,VMP,,False
2010,moped,Mopeds,Ciclomotores,100,True
2010,motorcycle,Motorcycles,Motocicletas,386,True
