year,band,reference,denominator,ratio,ratio_low,ratio_high
2014,65-74,35-64,residents,0.9342488031866825,0.7624358277911749,1.1447793957746792
2014,65-74,35-64,licence_holders,1.322650246086546,1.0794083244350596,1.6207061163701908
2014,65-74,35-64,travel_weighted,3.592609997386617,2.931911250991434,4.402195526538459
2014,65-74,35-64,drivers_involved,2.117104770994828,1.7277587331000788,2.5941889486658085
2014,65-74,35-64,involvement_per_licence,0.6247448233112395,0.6102085461027805,0.6396273810764536
2015,65-74,35-64,residents,0.832654410248021,0.6695986622392286,1.0354162963631766
2015,65-74,35-64,licence_holders,1.1723061216051747,0.9427375884886801,1.457777497719312
2015,65-74,35-64,travel_weighted,3.1924261084912815,2.567264672154457,3.9698222659777325
2015,65-74,35-64,drivers_involved,1.9316981831563986,1.553420606883223,2.4020911363449167
2015,65-74,35-64,involvement_per_licence,0.6068785133346372,0.5932435342006782,0.6208268758352332
2016,65-74,35-64,residents,0.829055842109109,0.6751357367771762,1.018067259505911
2016,65-74,35-64,licence_holders,1.1371101035142341,0.9259975366433989,1.3963529451721353
2016,65-74,35-64,travel_weighted,3.1701570638857683,2.5815948894118192,3.892901961854505
2016,65-74,35-64,drivers_involved,1.9598233733317494,1.5959682447220813,2.40663162776543
2016,65-74,35-64,involvement_per_licence,0.5802105021235247,0.5674173254105727,0.5932921179853701
2017,65-74,35-64,residents,0.7817404595541569,0.6376080299016323,0.9584542813838548
2017,65-74,35-64,licence_holders,1.05299131590975,0.8588473453499569,1.2910218764541266
2017,65-74,35-64,travel_weighted,2.9777620936671347,2.428740893290465,3.6508905132600415
2017,65-74,35-64,drivers_involved,1.8051745845224105,1.4723477548063304,2.2132375112931757
2017,65-74,35-64,involvement_per_licence,0.5833182701208574,0.5707717145817202,0.5961406207841662
2018,65-74,35-64,residents,0.8131363059781127,0.6639427793102892,0.9958548728951956
2018,65-74,35-64,licence_holders,1.0792767456149857,0.8812520076404826,1.32179930771912
2018,65-74,35-64,travel_weighted,3.0776282201969223,2.5129477298930554,3.7691971659735124
2018,65-74,35-64,drivers_involved,1.9547669136209835,1.5961080177967681,2.3940194798732266
2018,65-74,35-64,involvement_per_licence,0.5521255440198485,0.5402332509351319,0.5642796252017769
2019,65-74,35-64,residents,0.7611986732396024,0.6191470178071825,0.9358414132298666
2019,65-74,35-64,licence_holders,0.9923792751621926,0.8071856801002611,1.2200620626088337
2019,65-74,35-64,travel_weighted,2.9054968284798806,2.363285381128477,3.5721085095002794
2019,65-74,35-64,drivers_involved,1.8448032701013426,1.5005339384829077,2.2680587343578926
2019,65-74,35-64,involvement_per_licence,0.5379323048943193,0.5264005872896612,0.5497166447682615
2020,65-74,35-64,residents,0.8277556971724804,0.6620735029389321,1.0348994351231395
2020,65-74,35-64,licence_holders,1.061442820551383,0.8489862030214465,1.3270661611347936
2020,65-74,35-64,travel_weighted,3.1515469799030913,2.520738613806573,3.9402135200117336
2020,65-74,35-64,drivers_involved,2.0359759841169858,1.62845844046543,2.54547374676408
2020,65-74,35-64,involvement_per_licence,0.5213434877581509,0.5077651786585545,0.5352848987122132
2021,65-74,35-64,residents,0.6218895250372602,0.49223604277513117,0.7856933416957178
2021,65-74,35-64,licence_holders,0.7878094552364563,0.6235644645778379,0.9953160787957132
2021,65-74,35-64,travel_weighted,2.3743725657326236,1.8793559125473875,2.9997751055371578
2021,65-74,35-64,drivers_involved,1.5471485877957847,1.2245941888088578,1.9546628381821505
2021,65-74,35-64,involvement_per_licence,0.5092009012262,0.49725971840718286,0.521428839319853
2022,65-74,35-64,residents,0.7608986366642592,0.6226183072310641,0.9298903173154913
2022,65-74,35-64,licence_holders,0.9487394716489006,0.7763222791815512,1.159449637351108
2022,65-74,35-64,travel_weighted,2.899584450567102,2.3726345077973825,3.5435672701968937
2022,65-74,35-64,drivers_involved,1.7964755669611223,1.4699968203213356,2.195463567045543
2022,65-74,35-64,involvement_per_licence,0.5281115363309766,0.5166495504953246,0.5398278088860707
2023,65-74,35-64,residents,0.8681890923438934,0.7196913197226986,1.0473272073857147
2023,65-74,35-64,licence_holders,1.0603822510242489,0.8790111605639493,1.2791766120078183
2023,65-74,35-64,travel_weighted,3.299125631584584,2.7348328845228105,3.9798519297377553
2023,65-74,35-64,drivers_involved,1.963123509281344,1.6273447358789352,2.3681853191429765
2023,65-74,35-64,involvement_per_licence,0.5401505539569598,0.5289514795925111,0.5515867375298316
2024,65-74,35-64,residents,0.8312285944128293,0.6893098097487107,1.0023663763343391
2024,65-74,35-64,licence_holders,0.9911706470708841,0.8219443541202517,1.1952381529117306
2024,65-74,35-64,travel_weighted,3.135921475182821,2.600513805678343,3.7815617348540105
2024,65-74,35-64,drivers_involved,1.8673375464543758,1.5485199829925673,2.251794972422377
2024,65-74,35-64,involvement_per_licence,0.5307935080901032,0.5199040939641808,0.5419110014740703
2014,75+,35-64,residents,0.8455581322975229,0.684982648294643,1.0437761553150087
2014,75+,35-64,licence_holders,2.3573751105334373,1.9096984400699863,2.9099973562102694
2014,75+,35-64,travel_weighted,3.2515541781824773,2.634068678392474,4.013792297970075
2014,75+,35-64,drivers_involved,4.003091907959341,3.242885842786752,4.94150753385719
2014,75+,35-64,involvement_per_licence,0.5888885803112021,0.5697517068102426,0.6086682249052786
2015,75+,35-64,residents,0.9204225341996429,0.7468875287014578,1.134277396404516
2015,75+,35-64,licence_holders,2.532975267741268,2.0554121261603537,3.1214974482876063
2015,75+,35-64,travel_weighted,3.528932163041567,2.863592887261395,4.348859178533244
2015,75+,35-64,drivers_involved,4.1433977448634955,3.3622081023681765,5.106092290970262
2015,75+,35-64,involvement_per_licence,0.6113280509652634,0.5926597746178642,0.630584362061617
2016,75+,35-64,residents,0.7664416479964403,0.619826260710319,0.9477378372292635
