year,road_type,road_type_label,totals_source,speed_crashes,speed_deaths,other_crashes,other_deaths,share_of_crashes,share_of_deaths,speed_deaths_per_100,speed_low,speed_high,other_deaths_per_100,other_low,other_high,rate_ratio,ratio_low,ratio_high
2019,dual_carriageway,Dual carriageways,microdata,927,37,5766,163,0.1385029135,0.185,3.991370011,2.810292834,5.501577793,2.826916407,2.409591427,3.29575288,1.411916533,0.9881014008,2.017513884
2019,other_interurban,Other interurban roads,microdata,3553,212,14734,528,0.1942910264,0.2864864865,5.966788629,5.190574838,6.826338131,3.583548256,3.284362435,3.902665413,1.665050448,1.419770897,1.952704483
2020,all,All roads,report,4578,278,46796,846,0.08911122358,0.2473309609,6.072520751,5.379599904,6.82993608,1.807846825,1.68806162,1.933888613,3.358979682,2.933341267,3.846379768
2020,interurban,All interurban roads,report,3599,221,15810,605,0.18542944,0.2675544794,6.14059461,5.357639396,7.00578273,3.826691967,3.527800693,4.14414056,1.604674393,1.375572417,1.871933368
2020,urban,Urban streets,report,979,57,30986,241,0.03062724855,0.1912751678,5.82226762,4.409728638,7.543423024,0.7777706061,0.6826667349,0.8824169312,7.485841679,5.608805254,9.991044994
2020,motorway,Motorways,microdata,158,12,954,36,0.1420863309,0.25,7.594936709,3.924414626,13.26682598,3.773584906,2.642972476,5.224232127,2.012658228,1.047215798,3.868155111
2020,dual_carriageway,Dual carriageways,microdata,676,24,3550,112,0.1599621391,0.1764705882,3.550295858,2.274741547,5.282558816,3.154929577,2.597759254,3.796200093,1.125316991,0.724120485,1.748795064
2020,other_interurban,Other interurban roads,microdata,2765,185,11306,457,0.1965034468,0.2881619938,6.690777577,5.761338913,7.727469649,4.042101539,3.679955775,4.43024972,1.655272019,1.39538692,1.963559655
2021,all,All roads,report,5034,276,58474,958,0.07926560433,0.2236628849,5.482717521,4.854904292,6.169187206,1.638334986,1.536218942,1.745454657,3.346517999,2.927135102,3.825987639
2021,interurban,All interurban roads,report,3770,229,19107,690,0.1647943349,0.2491838955,6.074270557,5.31295946,6.914054456,3.611241953,3.346781581,3.891044383,1.682044747,1.448512092,1.953228106
2021,urban,Urban streets,report,1264,47,39367,268,0.03110925156,0.1492063492,3.71835443,2.732106975,4.944623128,0.6807732365,0.6017004131,0.7673488506,5.46195742,4.006269501,7.44657314
2021,motorway,Motorways,microdata,137,8,1283,36,0.09647887324,0.1818181818,5.839416058,2.521045384,11.50597753,2.805923617,1.965234405,3.88458102,2.081103001,0.9673555946,4.477143384
2021,dual_carriageway,Dual carriageways,microdata,696,23,4826,179,0.1260412894,0.1138613861,3.304597701,2.094831471,4.958519094,3.709075839,3.185600485,4.294025012,0.8909490785,0.577173974,1.375305014
2021,other_interurban,Other interurban roads,microdata,2937,198,12998,475,0.1843112645,0.294205052,6.741573034,5.835201869,7.74883646,3.654408371,3.333116415,3.998311255,1.844778238,1.562929967,2.177453128
2022,all,All roads,report,4716,342,65683,1085,0.06698958792,0.23966363,7.251908397,6.503608111,8.06269541,1.651873392,1.555033103,1.753165254,4.390111514,3.887673908,4.957483461
2022,interurban,All interurban roads,report,3411,271,20324,795,0.143711818,0.2542213884,7.944884198,7.027037826,8.949312147,3.911631569,3.644413113,4.193260986,2.031092157,1.769518085,2.331332685
