category,year,crashes,deaths,share_of_crashes,share_of_deaths,label,region_scope,limit_km_h
120 km/h,2017,24,4,0.003688335639,0.009661835749,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2017,2,0,0.0003073613032,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2017,3512,223,0.5397264484,0.538647343,Unknown,Spain without Cataluña and País Vasco,
Total,2017,6507,414,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2018,0,0,0,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2018,48,1,0.007268322229,0.003039513678,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2018,243,9,0.03679588128,0.0273556231,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2018,864,25,0.1308298001,0.07598784195,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2018,475,25,0.07192610539,0.07598784195,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2018,526,30,0.07964869776,0.09118541033,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2018,246,11,0.03725015142,0.03343465046,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2018,375,21,0.05678376741,0.06382978723,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2018,95,6,0.01438522108,0.01823708207,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2018,198,9,0.02998182919,0.0273556231,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2018,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2018,27,0,0.004088431254,0,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2018,1,1,0.0001514233798,0.003039513678,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2018,3506,191,0.5308903695,0.5805471125,Unknown,Spain without Cataluña and País Vasco,
Total,2018,6604,329,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2019,6,0,0.0009918994875,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2019,66,1,0.01091089436,0.003154574132,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2019,244,10,0.04033724583,0.03154574132,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2019,825,27,0.1363861795,0.08517350158,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2019,474,24,0.07836005951,0.07570977918,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2019,441,31,0.07290461233,0.09779179811,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2019,236,16,0.03901471318,0.05047318612,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2019,325,15,0.05372788891,0.04731861199,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2019,75,4,0.01239874359,0.01261829653,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2019,155,11,0.02562407009,0.03470031546,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2019,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2019,31,2,0.005124814019,0.006309148265,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2019,3,0,0.0004959497438,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2019,3168,176,0.5237229294,0.5552050473,Unknown,Spain without Cataluña and País Vasco,
Total,2019,6049,317,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2020,3,0,0.0006553079948,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2020,50,3,0.01092179991,0.01079136691,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2020,200,10,0.04368719965,0.03597122302,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2020,609,32,0.1330275229,0.1151079137,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2020,381,24,0.08322411533,0.08633093525,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2020,325,25,0.07099169943,0.08992805755,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2020,189,21,0.04128440367,0.07553956835,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2020,233,18,0.05089558759,0.06474820144,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2020,60,2,0.0131061599,0.007194244604,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2020,112,1,0.0244648318,0.003597122302,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2020,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2020,16,1,0.003494975972,0.003597122302,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2020,3,0,0.0006553079948,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2020,2397,141,0.5235910878,0.5071942446,Unknown,Spain without Cataluña and País Vasco,
Total,2020,4578,278,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2021,4,1,0.0007945967422,0.003623188406,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2021,50,1,0.009932459277,0.003623188406,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2021,234,11,0.04648390942,0.03985507246,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2021,661,35,0.1313071116,0.1268115942,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2021,385,20,0.07647993643,0.07246376812,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2021,372,21,0.07389749702,0.07608695652,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2021,186,13,0.03694874851,0.04710144928,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2021,255,23,0.05065554231,0.08333333333,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2021,45,2,0.008939213349,0.007246376812,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2021,109,3,0.02165276122,0.01086956522,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2021,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2021,15,0,0.002979737783,0,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2021,3,0,0.0005959475566,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2021,2715,146,0.5393325387,0.5289855072,Unknown,Spain without Cataluña and País Vasco,
Total,2021,5034,276,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2022,14,0,0.002968617472,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2022,71,4,0.01505513147,0.01169590643,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2022,528,28,0.1119592875,0.08187134503,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2022,693,49,0.1469465649,0.1432748538,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2022,543,44,0.1151399491,0.1286549708,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2022,382,20,0.08100084818,0.05847953216,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2022,188,21,0.03986429177,0.06140350877,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2022,252,35,0.0534351145,0.1023391813,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2022,424,50,0.08990670059,0.1461988304,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2022,158,8,0.03350296862,0.02339181287,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2022,0,0,0,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2022,145,10,0.03074639525,0.02923976608,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2022,2,0,0.0004240882103,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2022,1316,73,0.2790500424,0.2134502924,Unknown,Spain without Cataluña and País Vasco,
Total,2022,4716,342,1,1,Total,Spain without Cataluña and País Vasco,
10 km/h,2023,33,0,0.00650887574,0,10 km/h,Spain without Cataluña and País Vasco,10
20 km/h,2023,113,5,0.02228796844,0.01567398119,20 km/h,Spain without Cataluña and País Vasco,20
30 km/h,2023,958,36,0.1889546351,0.1128526646,30 km/h,Spain without Cataluña and País Vasco,30
40 km/h,2023,767,35,0.1512820513,0.1097178683,40 km/h,Spain without Cataluña and País Vasco,40
50 km/h,2023,797,49,0.157199211,0.1536050157,50 km/h,Spain without Cataluña and País Vasco,50
60 km/h,2023,401,26,0.07909270217,0.08150470219,60 km/h,Spain without Cataluña and País Vasco,60
70 km/h,2023,250,23,0.04930966469,0.07210031348,70 km/h,Spain without Cataluña and País Vasco,70
80 km/h,2023,360,28,0.07100591716,0.08777429467,80 km/h,Spain without Cataluña and País Vasco,80
90 km/h,2023,914,86,0.1802761341,0.2695924765,90 km/h,Spain without Cataluña and País Vasco,90
100 km/h,2023,161,12,0.03175542406,0.03761755486,100 km/h,Spain without Cataluña and País Vasco,100
110 km/h,2023,2,0,0.0003944773176,0,110 km/h,Spain without Cataluña and País Vasco,110
120 km/h,2023,304,19,0.05996055227,0.05956112853,120 km/h,Spain without Cataluña and País Vasco,120
Otra velocidad máxima,2023,0,0,0,0,Other limit,Spain without Cataluña and País Vasco,
Se desconoce *,2023,10,0,0.001972386588,0,Unknown,Spain without Cataluña and País Vasco,
Total,2023,5070,319,1,1,Total,Spain without Cataluña and País Vasco,
