category,year,crashes,deaths,share_of_deaths,label,region_scope
Total,2018,7941,329,1,Total,Spain without Cataluña and País Vasco
Peatón,2019,206,22,0.06940063091,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2019,177,6,0.01892744479,Bicycles,Spain without Cataluña and País Vasco
VMP,2019,,,,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2019,190,10,0.03154574132,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2019,1355,113,0.356466877,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2019,4270,140,0.4416403785,Cars,Spain without Cataluña and País Vasco
Furgoneta,2019,501,5,0.01577287066,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2019,71,4,0.01261829653,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2019,330,11,0.03470031546,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2019,39,0,0,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2019,128,5,0.01577287066,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2019,0,1,0.003154574132,Unknown,Spain without Cataluña and País Vasco
Total,2019,7267,317,1,Total,Spain without Cataluña and País Vasco
Peatón,2020,146,15,0.05395683453,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2020,208,7,0.02517985612,Bicycles,Spain without Cataluña and País Vasco
VMP,2020,29,0,0,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2020,123,2,0.007194244604,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2020,1002,94,0.3381294964,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2020,3212,137,0.4928057554,Cars,Spain without Cataluña and País Vasco
Furgoneta,2020,365,9,0.03237410072,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2020,63,2,0.007194244604,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2020,203,5,0.01798561151,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2020,14,0,0,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2020,87,7,0.02517985612,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2020,0,0,0,Unknown,Spain without Cataluña and País Vasco
Total,2020,5452,278,1,Total,Spain without Cataluña and País Vasco
Peatón,2021,169,17,0.0615942029,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2021,195,9,0.03260869565,Bicycles,Spain without Cataluña and País Vasco
VMP,2021,35,0,0,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2021,155,3,0.01086956522,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2021,1036,73,0.2644927536,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2021,3705,149,0.5398550725,Cars,Spain without Cataluña and País Vasco
Furgoneta,2021,360,9,0.03260869565,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2021,77,5,0.01811594203,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2021,223,5,0.01811594203,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2021,29,0,0,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2021,78,6,0.02173913043,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2021,0,0,0,Unknown,Spain without Cataluña and País Vasco
Total,2021,6062,276,1,Total,Spain without Cataluña and País Vasco
Peatón,2022,187,33,0.09649122807,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2022,188,12,0.0350877193,Bicycles,Spain without Cataluña and País Vasco
VMP,2022,101,1,0.002923976608,Personal mobility vehicles,Spain without Cataluña and País Vasco
