year,vehicle_type,deaths_30d,vehicle_type_label
2007,VMP,,Personal mobility vehicles
2007,Ciclomotores,221,Mopeds
2007,Motocicletas,595,Motorcycles
2007,Turismos,1187,Cars
2007,Camiones hasta 3.500 kg y furgonetas,155,Vans and light trucks (≤3.5 t)
2007,Camiones más de 3.500 kg,85,Heavy trucks (>3.5 t)
2007,Autobuses,5,Buses
2007,Otros,89,Other
2008,Bicicletas,54,Bicycles
2008,VMP,,Personal mobility vehicles
2008,Ciclomotores,164,Mopeds
2008,Motocicletas,463,Motorcycles
2008,Turismos,994,Cars
2008,Camiones hasta 3.500 kg y furgonetas,105,Vans and light trucks (≤3.5 t)
2008,Camiones más de 3.500 kg,78,Heavy trucks (>3.5 t)
2008,Autobuses,6,Buses
2008,Otros,65,Other
2009,Bicicletas,54,Bicycles
2009,VMP,,Personal mobility vehicles
2009,Ciclomotores,140,Mopeds
2009,Motocicletas,415,Motorcycles
2009,Turismos,847,Cars
2009,Camiones hasta 3.500 kg y furgonetas,111,Vans and light trucks (≤3.5 t)
2009,Camiones más de 3.500 kg,62,Heavy trucks (>3.5 t)
2009,Autobuses,1,Buses
2009,Otros,62,Other
2010,Bicicletas,67,Bicycles
2010,VMP,,Personal mobility vehicles
2010,Ciclomotores,93,Mopeds
2010,Motocicletas,365,Motorcycles
2010,Turismos,785,Cars
2010,Camiones hasta 3.500 kg y furgonetas,80,Vans and light trucks (≤3.5 t)
2010,Camiones más de 3.500 kg,64,Heavy trucks (>3.5 t)
2010,Autobuses,0,Buses
2010,Otros,57,Other
2011,Bicicletas,49,Bicycles
2011,VMP,,Personal mobility vehicles
2011,Ciclomotores,67,Mopeds
2011,Motocicletas,334,Motorcycles
2011,Turismos,663,Cars
2011,Camiones hasta 3.500 kg y furgonetas,75,Vans and light trucks (≤3.5 t)
2011,Camiones más de 3.500 kg,58,Heavy trucks (>3.5 t)
2011,Autobuses,0,Buses
2011,Otros,46,Other
2012,Bicicletas,72,Bicycles
2012,VMP,,Personal mobility vehicles
2012,Ciclomotores,65,Mopeds
2012,Motocicletas,282,Motorcycles
2012,Turismos,579,Cars
2012,Camiones hasta 3.500 kg y furgonetas,61,Vans and light trucks (≤3.5 t)
2012,Camiones más de 3.500 kg,45,Heavy trucks (>3.5 t)
2012,Autobuses,0,Buses
2012,Otros,58,Other
2013,Bicicletas,68,Bicycles
2013,VMP,,Personal mobility vehicles
2013,Ciclomotores,50,Mopeds
2013,Motocicletas,285,Motorcycles
2013,Turismos,494,Cars
2013,Camiones hasta 3.500 kg y furgonetas,47,Vans and light trucks (≤3.5 t)
2013,Camiones más de 3.500 kg,36,Heavy trucks (>3.5 t)
2013,Autobuses,1,Buses
2013,Otros,33,Other
2014,Bicicletas,75,Bicycles
2014,VMP,,Personal mobility vehicles
2014,Ciclomotores,52,Mopeds
2014,Motocicletas,275,Motorcycles
2014,Turismos,501,Cars
2014,Camiones hasta 3.500 kg y furgonetas,67,Vans and light trucks (≤3.5 t)
2014,Camiones más de 3.500 kg,44,Heavy trucks (>3.5 t)
2014,Autobuses,1,Buses
2014,Otros,28,Other
2015,Bicicletas,58,Bicycles
2015,VMP,,Personal mobility vehicles
2015,Ciclomotores,54,Mopeds
2015,Motocicletas,312,Motorcycles
2015,Turismos,475,Cars
2015,Camiones hasta 3.500 kg y furgonetas,64,Vans and light trucks (≤3.5 t)
2015,Camiones más de 3.500 kg,55,Heavy trucks (>3.5 t)
2015,Autobuses,1,Buses
2015,Otros,29,Other
2016,Bicicletas,67,Bicycles
2016,VMP,,Personal mobility vehicles
2016,Ciclomotores,50,Mopeds
2016,Motocicletas,323,Motorcycles
2016,Turismos,511,Cars
2016,Camiones hasta 3.500 kg y furgonetas,69,Vans and light trucks (≤3.5 t)
2016,Camiones más de 3.500 kg,46,Heavy trucks (>3.5 t)
2016,Autobuses,2,Buses
2016,Otros,33,Other
2017,Bicicletas,78,Bicycles
2017,VMP,,Personal mobility vehicles
2017,Ciclomotores,47,Mopeds
2017,Motocicletas,336,Motorcycles
2017,Turismos,555,Cars
2017,Camiones hasta 3.500 kg y furgonetas,70,Vans and light trucks (≤3.5 t)
2017,Camiones más de 3.500 kg,53,Heavy trucks (>3.5 t)
2017,Autobuses,0,Buses
2017,Otros,32,Other
2018,Bicicletas,58,Bicycles
2018,VMP,,Personal mobility vehicles
2018,Ciclomotores,59,Mopeds
2018,Motocicletas,338,Motorcycles
2018,Turismos,523,Cars
2018,Camiones hasta 3.500 kg y furgonetas,76,Vans and light trucks (≤3.5 t)
2018,Camiones más de 3.500 kg,53,Heavy trucks (>3.5 t)
2018,Autobuses,3,Buses
2018,Otros,43,Other
2019,Bicicletas,80,Bicycles
2019,VMP,,Personal mobility vehicles
2019,Ciclomotores,43,Mopeds
2019,Motocicletas,401,Motorcycles
2019,Turismos,459,Cars
2019,Camiones hasta 3.500 kg y furgonetas,63,Vans and light trucks (≤3.5 t)
2019,Camiones más de 3.500 kg,50,Heavy trucks (>3.5 t)
2019,Autobuses,0,Buses
2019,Otros,43,Other
2020,Bicicletas,71,Bicycles
2020,VMP,8,Personal mobility vehicles
2020,Ciclomotores,29,Mopeds
2020,Motocicletas,300,Motorcycles
2020,Turismos,392,Cars
2020,Camiones hasta 3.500 kg y furgonetas,49,Vans and light trucks (≤3.5 t)
2020,Camiones más de 3.500 kg,38,Heavy trucks (>3.5 t)
2020,Autobuses,0,Buses
2020,Otros,35,Other
2021,Bicicletas,63,Bicycles
2021,VMP,9,Personal mobility vehicles
2021,Ciclomotores,34,Mopeds
2021,Motocicletas,340,Motorcycles
2021,Turismos,453,Cars
2021,Camiones hasta 3.500 kg y furgonetas,58,Vans and light trucks (≤3.5 t)
2021,Camiones más de 3.500 kg,32,Heavy trucks (>3.5 t)
2021,Autobuses,3,Buses
2021,Otros,30,Other
2022,Bicicletas,80,Bicycles
2022,VMP,8,Personal mobility vehicles
2022,Ciclomotores,36,Mopeds
2022,Motocicletas,385,Motorcycles
2022,Turismos,471,Cars
2022,Camiones hasta 3.500 kg y furgonetas,73,Vans and light trucks (≤3.5 t)
2022,Camiones más de 3.500 kg,50,Heavy trucks (>3.5 t)
2022,Autobuses,2,Buses
2022,Otros,26,Other
2023,Bicicletas,89,Bicycles
2023,VMP,10,Personal mobility vehicles
2023,Ciclomotores,28,Mopeds
2023,Motocicletas,429,Motorcycles
2023,Turismos,486,Cars
2023,Camiones hasta 3.500 kg y furgonetas,50,Vans and light trucks (≤3.5 t)
2023,Camiones más de 3.500 kg,33,Heavy trucks (>3.5 t)
2023,Autobuses,1,Buses
2023,Otros,52,Other
2024,Bicicletas,90,Bicycles
2024,VMP,19,Personal mobility vehicles
2024,Ciclomotores,37,Mopeds
2024,Motocicletas,415,Motorcycles
2024,Turismos,495,Cars
2024,Camiones hasta 3.500 kg y furgonetas,67,Vans and light trucks (≤3.5 t)
2024,Camiones más de 3.500 kg,32,Heavy trucks (>3.5 t)
2024,Autobuses,1,Buses
2024,Otros,30,Other
