source,wave,question,definition,age_low,age_high,sex,share,n,url,notes
ESRA3,2023,How often did you use the following transport modes in the last 12 months?,car driver at least a few days a month,18,99,Total,0.759,935,https://www.esranet.eu/storage/minisites/esra2023countryfactsheetspain.pdf,"Spain, adults 18+, weighted; age split to be read from the ESRA3 dashboard"
"Fundacion MAPFRE, Mayores de 65 anos y seguridad vial",2008,Dias de media a la semana que conduce,among drivers 65+: fewer than 3 days a week,65,99,Total,0.559,300,https://app.mapfre.com/ccm/content/documentos/fundacion/seg-vial/investigacion/mayores-y-seguridad-vial.pdf,"Comunidad de Madrid only, quota sample of drivers, year inferred from the 2007 figures it cites"
"Fundacion MAPFRE, Mayores de 65 anos y seguridad vial",2008,Dias de media a la semana que conduce,among drivers 65+: 3 to 5 days a week,65,99,Total,0.303,300,https://app.mapfre.com/ccm/content/documentos/fundacion/seg-vial/investigacion/mayores-y-seguridad-vial.pdf,as above
"Fundacion MAPFRE, Mayores de 65 anos y seguridad vial",2008,Dias de media a la semana que conduce,among drivers 65+: more than 5 days a week,65,99,Total,0.138,300,https://app.mapfre.com/ccm/content/documentos/fundacion/seg-vial/investigacion/mayores-y-seguridad-vial.pdf,as above
