province,age_group,sex,reference,year,Periodo,population
02 Albacete,De 0 a 4 años,Hombres,1 January,2002,1 de enero de 2002,9405
02 Albacete,De 0 a 4 años,Mujeres,1 January,2002,1 de enero de 2002,9036
02 Albacete,De 0 a 4 años,Total,1 January,2002,1 de enero de 2002,18440
02 Albacete,De 10 a 14 años,Hombres,1 January,2002,1 de enero de 2002,11322
02 Albacete,De 10 a 14 años,Mujeres,1 January,2002,1 de enero de 2002,10675
02 Albacete,De 10 a 14 años,Total,1 January,2002,1 de enero de 2002,21997
02 Albacete,De 15 a 19 años,Hombres,1 January,2002,1 de enero de 2002,12263
02 Albacete,De 15 a 19 años,Mujeres,1 January,2002,1 de enero de 2002,11337
02 Albacete,De 15 a 19 años,Total,1 January,2002,1 de enero de 2002,23600
02 Albacete,De 20 a 24 años,Hombres,1 January,2002,1 de enero de 2002,14575
02 Albacete,De 20 a 24 años,Mujeres,1 January,2002,1 de enero de 2002,13476
02 Albacete,De 20 a 24 años,Total,1 January,2002,1 de enero de 2002,28051
02 Albacete,De 25 a 29 años,Hombres,1 January,2002,1 de enero de 2002,15357
02 Albacete,De 25 a 29 años,Mujeres,1 January,2002,1 de enero de 2002,14404
02 Albacete,De 25 a 29 años,Total,1 January,2002,1 de enero de 2002,29761
02 Albacete,De 30 a 34 años,Hombres,1 January,2002,1 de enero de 2002,15169
02 Albacete,De 30 a 34 años,Mujeres,1 January,2002,1 de enero de 2002,14590
02 Albacete,De 30 a 34 años,Total,1 January,2002,1 de enero de 2002,29758
02 Albacete,De 35 a 39 años,Hombres,1 January,2002,1 de enero de 2002,15069
02 Albacete,De 35 a 39 años,Mujeres,1 January,2002,1 de enero de 2002,14652
02 Albacete,De 35 a 39 años,Total,1 January,2002,1 de enero de 2002,29721
02 Albacete,De 40 a 44 años,Hombres,1 January,2002,1 de enero de 2002,13809
02 Albacete,De 40 a 44 años,Mujeres,1 January,2002,1 de enero de 2002,13040
02 Albacete,De 40 a 44 años,Total,1 January,2002,1 de enero de 2002,26849
02 Albacete,De 45 a 49 años,Hombres,1 January,2002,1 de enero de 2002,10277
02 Albacete,De 45 a 49 años,Mujeres,1 January,2002,1 de enero de 2002,10051
02 Albacete,De 45 a 49 años,Total,1 January,2002,1 de enero de 2002,20328
02 Albacete,De 5 a 9 años,Hombres,1 January,2002,1 de enero de 2002,10073
02 Albacete,De 5 a 9 años,Mujeres,1 January,2002,1 de enero de 2002,9531
02 Albacete,De 5 a 9 años,Total,1 January,2002,1 de enero de 2002,19604
02 Albacete,De 50 a 54 años,Hombres,1 January,2002,1 de enero de 2002,9345
02 Albacete,De 50 a 54 años,Mujeres,1 January,2002,1 de enero de 2002,9259
02 Albacete,De 50 a 54 años,Total,1 January,2002,1 de enero de 2002,18603
02 Albacete,De 55 a 59 años,Hombres,1 January,2002,1 de enero de 2002,8251
02 Albacete,De 55 a 59 años,Mujeres,1 January,2002,1 de enero de 2002,8669
02 Albacete,De 55 a 59 años,Total,1 January,2002,1 de enero de 2002,16919
02 Albacete,De 60 a 64 años,Hombres,1 January,2002,1 de enero de 2002,7966
02 Albacete,De 60 a 64 años,Mujeres,1 January,2002,1 de enero de 2002,8461
02 Albacete,De 60 a 64 años,Total,1 January,2002,1 de enero de 2002,16427
02 Albacete,De 65 a 69 años,Hombres,1 January,2002,1 de enero de 2002,8928
02 Albacete,De 65 a 69 años,Mujeres,1 January,2002,1 de enero de 2002,9848
02 Albacete,De 65 a 69 años,Total,1 January,2002,1 de enero de 2002,18775
02 Albacete,De 70 a 74 años,Hombres,1 January,2002,1 de enero de 2002,8483
02 Albacete,De 70 a 74 años,Mujeres,1 January,2002,1 de enero de 2002,9741
02 Albacete,De 70 a 74 años,Total,1 January,2002,1 de enero de 2002,18224
02 Albacete,De 75 a 79 años,Hombres,1 January,2002,1 de enero de 2002,6241
02 Albacete,De 75 a 79 años,Mujeres,1 January,2002,1 de enero de 2002,7905
02 Albacete,De 75 a 79 años,Total,1 January,2002,1 de enero de 2002,14146
02 Albacete,De 80 a 84 años,Hombres,1 January,2002,1 de enero de 2002,3246
02 Albacete,De 80 a 84 años,Mujeres,1 January,2002,1 de enero de 2002,4948
02 Albacete,De 80 a 84 años,Total,1 January,2002,1 de enero de 2002,8193
02 Albacete,De 85 a 89 años,Hombres,1 January,2002,1 de enero de 2002,1512
02 Albacete,De 85 a 89 años,Mujeres,1 January,2002,1 de enero de 2002,2780
02 Albacete,De 85 a 89 años,Total,1 January,2002,1 de enero de 2002,4292
02 Albacete,Todas las edades,Hombres,1 January,2002,1 de enero de 2002,181885
02 Albacete,Todas las edades,Mujeres,1 January,2002,1 de enero de 2002,183655
02 Albacete,Todas las edades,Total,1 January,2002,1 de enero de 2002,365541
03 Alicante/Alacant,90 y más años,Hombres,1 January,2002,1 de enero de 2002,1707
03 Alicante/Alacant,90 y más años,Mujeres,1 January,2002,1 de enero de 2002,4269
03 Alicante/Alacant,90 y más años,Total,1 January,2002,1 de enero de 2002,5977
03 Alicante/Alacant,De 0 a 4 años,Hombres,1 January,2002,1 de enero de 2002,37658
03 Alicante/Alacant,De 0 a 4 años,Mujeres,1 January,2002,1 de enero de 2002,35513
03 Alicante/Alacant,De 0 a 4 años,Total,1 January,2002,1 de enero de 2002,73171
03 Alicante/Alacant,De 10 a 14 años,Hombres,1 January,2002,1 de enero de 2002,41777
03 Alicante/Alacant,De 10 a 14 años,Mujeres,1 January,2002,1 de enero de 2002,39640
03 Alicante/Alacant,De 10 a 14 años,Total,1 January,2002,1 de enero de 2002,81416
03 Alicante/Alacant,De 15 a 19 años,Hombres,1 January,2002,1 de enero de 2002,47007
