COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|21|1|22|21|0|0|0|0|1
01|M|18 a 20 años|914|1|915|36|901|0|0|0|1
01|M|21 a 24 años|3210|0|3210|64|3208|9|0|0|0
01|M|25 a 29 años|4558|0|4558|148|4548|20|1|0|0
01|M|30 a 34 años|5559|0|5559|439|5534|40|19|0|0
01|M|35 a 39 años|7300|0|7300|642|7280|50|53|0|0
01|M|40 a 44 años|9836|0|9836|1061|9816|102|82|0|0
01|M|45 a 49 años|11762|0|11762|1585|11702|147|126|0|0
01|M|50 a 54 años|10506|0|10506|1276|10434|102|79|0|0
01|M|55 a 59 años|9346|0|9346|756|9271|71|52|0|0
01|M|60 a 64 años|7944|0|7944|548|7898|30|27|0|0
01|M|65 a 69 años|5836|0|5836|337|5782|7|7|0|0
01|M|70 a 74 años|3419|1|3419|203|3365|2|1|0|1
01|M|Más de 74 años|2457|0|2457|341|2309|1|1|0|0
01|V|15 a 17 años|99|7|104|99|0|0|0|0|7
01|V|18 a 20 años|1568|1|1569|235|1514|0|0|0|1
01|V|21 a 24 años|4069|1|4070|420|4058|74|0|0|1
01|V|25 a 29 años|5925|0|5925|859|5907|209|30|0|0
01|V|30 a 34 años|6753|0|6753|1864|6700|367|80|0|0
01|V|35 a 39 años|8341|0|8341|2590|8312|655|198|0|0
01|V|40 a 44 años|10748|0|10748|3726|10686|1010|382|0|0
01|V|45 a 49 años|13189|0|13189|4858|13035|1453|607|0|0
01|V|50 a 54 años|12593|0|12593|4539|12419|1743|837|0|0
01|V|55 a 59 años|11808|1|11808|3751|11675|1780|925|0|1
01|V|60 a 64 años|10187|0|10187|3625|10077|1316|620|0|0
01|V|65 a 69 años|8661|0|8661|3063|8551|612|320|0|0
01|V|70 a 74 años|7306|1|7306|2700|7167|213|91|0|1
01|V|Más de 74 años|11060|1|11060|6244|9822|69|32|0|1
02|M|15 a 17 años|57|0|57|57|0|0|0|0|0
02|M|18 a 20 años|1734|0|1734|129|1694|1|0|0|0
02|M|21 a 24 años|5202|0|5202|164|5194|17|0|0|0
02|M|25 a 29 años|7518|0|7518|439|7501|47|1|0|0
02|M|30 a 34 años|9020|0|9020|1418|8985|64|7|0|0
02|M|35 a 39 años|9680|0|9680|1996|9642|94|18|0|0
02|M|40 a 44 años|11911|0|11911|3078|11813|206|57|0|0
02|M|45 a 49 años|13714|0|13714|3638|13485|272|72|0|0
02|M|50 a 54 años|12176|0|12176|2986|11895|104|56|0|0
02|M|55 a 59 años|11238|0|11238|2058|10949|64|35|0|0
02|M|60 a 64 años|8666|0|8666|1362|8378|29|18|0|0
02|M|65 a 69 años|5310|0|5310|689|5131|7|5|0|0
02|M|70 a 74 años|2728|0|2728|303|2572|2|0|0|0
02|M|Más de 74 años|1716|0|1716|320|1503|1|0|0|0
02|V|15 a 17 años|381|5|383|381|0|0|0|0|5
02|V|18 a 20 años|3066|4|3067|768|2856|5|0|0|4
02|V|21 a 24 años|6415|0|6415|1080|6364|185|2|0|0
02|V|25 a 29 años|9609|0|9609|2111|9577|667|47|0|0
02|V|30 a 34 años|10141|0|10141|4774|10070|1057|74|0|0
02|V|35 a 39 años|11073|0|11073|6021|11007|1540|180|0|0
02|V|40 a 44 años|12181|0|12181|7022|12021|2108|364|0|0
02|V|45 a 49 años|13691|1|13691|8419|13345|2637|646|0|1
02|V|50 a 54 años|14239|1|14239|8268|13824|2822|1226|0|1
02|V|55 a 59 años|14405|6|14405|8091|13932|2625|1358|0|6
02|V|60 a 64 años|13054|11|13054|7969|12602|2076|890|0|11
02|V|65 a 69 años|9614|17|9614|6513|9135|713|283|0|17
02|V|70 a 74 años|7462|17|7462|5706|6970|264|116|0|17
02|V|Más de 74 años|14413|74|14413|12851|9590|118|46|0|74
03|M|15 a 17 años|1296|0|1296|1296|0|0|0|0|0
03|M|18 a 20 años|9199|0|9199|1944|8233|0|0|0|0
03|M|21 a 24 años|22633|0|22633|1909|22376|30|0|0|0
03|M|25 a 29 años|32388|0|32388|2751|32233|85|15|0|0
03|M|30 a 34 años|38346|0|38346|7864|38069|130|34|0|0
03|M|35 a 39 años|44601|0|44601|11864|44250|189|82|0|0
03|M|40 a 44 años|53911|0|53911|17523|53181|283|138|0|0
03|M|45 a 49 años|61220|0|61220|21819|59758|587|171|0|0
03|M|50 a 54 años|56706|0|56706|20134|55034|872|159|0|0
03|M|55 a 59 años|52433|0|52433|16361|50873|1198|145|0|0
03|M|60 a 64 años|43742|0|43742|12589|42328|1169|57|0|0
03|M|65 a 69 años|33609|0|33609|8106|32516|905|31|0|0
03|M|70 a 74 años|22141|0|22141|4819|21301|299|19|0|0
03|M|Más de 74 años|21151|0|21151|6743|18663|107|7|0|0
03|V|15 a 17 años|3153|2|3155|3153|0|0|0|0|2
03|V|18 a 20 años|14137|0|14137|5329|12144|9|0|0|0
03|V|21 a 24 años|27826|0|27826|6837|26949|451|5|0|0
03|V|25 a 29 años|37608|0|37608|9268|37158|1316|94|0|0
03|V|30 a 34 años|42215|0|42215|19622|41610|2013|264|0|0
03|V|35 a 39 años|48544|0|48544|26461|47926|3477|650|0|0
03|V|40 a 44 años|60961|0|60961|36116|59771|6034|1169|0|0
03|V|45 a 49 años|71917|1|71918|43799|69828|9017|2364|0|1
03|V|50 a 54 años|68153|0|68153|43208|65828|10026|3771|0|0
03|V|55 a 59 años|62927|0|62927|41183|60656|9279|3683|0|0
03|V|60 a 64 años|55520|1|55520|38494|53502|7575|2568|0|1
03|V|65 a 69 años|46633|0|46633|32173|44810|3634|1146|0|0
03|V|70 a 74 años|37985|5|37985|26154|36438|1335|407|0|5
03|V|Más de 74 años|59538|2|59538|44988|50763|750|203|0|2
04|M|15 a 17 años|96|0|96|96|0|0|0|0|0
04|M|18 a 20 años|2583|0|2583|163|2510|2|0|0|0
04|M|21 a 24 años|9001|0|9001|249|8972|30|0|0|0
04|M|25 a 29 años|13728|0|13728|592|13697|76|6|0|0
04|M|30 a 34 años|16523|0|16523|2218|16473|149|21|0|0
04|M|35 a 39 años|18870|0|18870|3291|18788|241|50|0|0
04|M|40 a 44 años|21756|0|21756|5232|21557|295|66|0|0
04|M|45 a 49 años|23157|0|23157|6478|22687|339|91|0|0
04|M|50 a 54 años|20324|0|20324|5544|19802|376|69|0|0
04|M|55 a 59 años|18408|0|18408|4230|17929|449|62|0|0
04|M|60 a 64 años|14037|0|14037|2999|13611|393|26|0|0
04|M|65 a 69 años|9869|0|9869|1916|9533|232|10|0|0
04|M|70 a 74 años|5653|0|5653|1174|5383|45|3|0|0
04|M|Más de 74 años|4037|0|4037|1103|3625|5|0|0|0
04|V|15 a 17 años|722|1|722|722|0|0|0|0|1
04|V|18 a 20 años|4911|1|4912|1450|4270|5|1|0|1
04|V|21 a 24 años|11192|0|11192|1882|10974|424|1|0|0
04|V|25 a 29 años|17167|0|17167|3257|17032|1267|59|0|0
04|V|30 a 34 años|20069|0|20069|7787|19888|2214|163|0|0
04|V|35 a 39 años|22659|0|22659|10584|22414|3378|422|0|0
04|V|40 a 44 años|27093|0|27093|13993|26572|4822|848|0|0
04|V|45 a 49 años|29965|0|29965|15797|29042|5915|1459|0|0
04|V|50 a 54 años|26518|1|26518|14631|25473|5342|2050|0|1
04|V|55 a 59 años|24152|0|24152|14059|23102|4642|2022|0|0
04|V|60 a 64 años|20718|0|20718|13460|19604|3570|1310|0|0
04|V|65 a 69 años|16658|0|16658|11594|15609|1833|569|0|0
04|V|70 a 74 años|12442|5|12442|9043|11403|549|178|0|5
04|V|Más de 74 años|17932|3|17932|14287|13035|188|64|0|3
05|M|15 a 17 años|25|0|25|25|0|0|0|0|0
05|M|18 a 20 años|654|0|654|56|632|0|0|0|0
05|M|21 a 24 años|1923|0|1923|78|1918|4|0|0|0
05|M|25 a 29 años|2766|0|2766|144|2765|9|0|0|0
05|M|30 a 34 años|3059|0|3059|430|3056|19|7|0|0
05|M|35 a 39 años|3560|0|3560|515|3555|31|9|0|0
05|M|40 a 44 años|4225|0|4225|694|4210|55|21|0|0
05|M|45 a 49 años|4891|0|4891|981|4836|55|18|0|0
05|M|50 a 54 años|4706|0|4706|769|4654|35|15|0|0
05|M|55 a 59 años|4651|0|4651|475|4603|27|13|0|0
05|M|60 a 64 años|4072|0|4072|376|4019|16|7|0|0
05|M|65 a 69 años|2636|0|2636|218|2585|4|3|0|0
05|M|70 a 74 años|1510|0|1510|101|1478|0|0|0|0
05|M|Más de 74 años|1058|0|1058|129|1001|0|0|0|0
05|V|15 a 17 años|141|3|144|141|0|0|0|0|3
05|V|18 a 20 años|1014|2|1016|247|970|0|0|0|2
05|V|21 a 24 años|2089|0|2089|317|2078|59|1|0|0
05|V|25 a 29 años|3169|0|3169|632|3167|196|25|0|0
05|V|30 a 34 años|3497|0|3497|1342|3482|331|42|0|0
05|V|35 a 39 años|3946|0|3946|1751|3921|605|131|0|0
05|V|40 a 44 años|4635|0|4635|2150|4608|898|258|0|0
05|V|45 a 49 años|5639|0|5639|2591|5569|1067|343|0|0
05|V|50 a 54 años|5603|0|5603|2445|5503|1056|486|0|0
05|V|55 a 59 años|5810|0|5810|2193|5711|1008|558|0|0
05|V|60 a 64 años|5948|2|5948|2505|5799|912|376|0|2
05|V|65 a 69 años|5090|3|5090|2117|4921|438|174|0|3
05|V|70 a 74 años|4075|2|4075|1814|3876|162|76|0|2
05|V|Más de 74 años|7359|10|7362|4809|5472|75|20|0|10
06|M|15 a 17 años|204|0|204|204|0|0|0|0|0
06|M|18 a 20 años|3237|0|3237|333|3101|3|0|0|0
06|M|21 a 24 años|9673|0|9673|401|9644|45|1|0|0
06|M|25 a 29 años|13839|0|13839|572|13828|98|19|0|0
06|M|30 a 34 años|16793|0|16793|2003|16770|129|35|0|0
06|M|35 a 39 años|18166|0|18166|2504|18129|166|45|0|0
06|M|40 a 44 años|20260|0|20260|3354|20159|183|71|0|0
06|M|45 a 49 años|21443|0|21443|4016|21194|194|58|0|0
06|M|50 a 54 años|19841|1|19841|3826|19475|117|68|0|1
06|M|55 a 59 años|18095|0|18095|2599|17709|75|46|0|0
06|M|60 a 64 años|13585|1|13585|1720|13216|22|17|0|1
06|M|65 a 69 años|8362|1|8362|1034|8048|8|3|0|1
06|M|70 a 74 años|4437|0|4437|456|4239|2|2|0|0
06|M|Más de 74 años|2907|0|2907|398|2715|2|1|0|0
06|V|15 a 17 años|1030|20|1044|1030|0|0|0|0|20
06|V|18 a 20 años|5571|11|5578|1568|5129|16|0|0|11
06|V|21 a 24 años|10806|0|10806|1937|10704|306|8|0|0
06|V|25 a 29 años|16341|0|16341|3731|16281|1011|60|0|0
06|V|30 a 34 años|18396|1|18396|8488|18312|1644|174|0|1
06|V|35 a 39 años|19979|1|19979|10350|19875|2907|364|0|1
06|V|40 a 44 años|22064|3|22065|11870|21834|3741|675|0|3
06|V|45 a 49 años|24166|1|24166|13206|23648|4239|1163|0|1
06|V|50 a 54 años|24403|15|24407|13666|23617|4299|1865|2|13
06|V|55 a 59 años|24714|16|24715|13255|23686|3692|1825|0|16
06|V|60 a 64 años|22922|25|22922|14233|21647|2820|1138|0|25
06|V|65 a 69 años|17822|23|17822|12544|16519|1137|465|0|23
06|V|70 a 74 años|13941|41|13941|10034|12601|420|192|0|41
06|V|Más de 74 años|25274|97|25275|20917|16058|207|84|0|97
07|M|15 a 17 años|954|0|954|954|0|0|0|0|0
07|M|18 a 20 años|4781|0|4781|1510|4038|2|1|0|0
07|M|21 a 24 años|13439|0|13439|2233|13131|23|1|0|0
07|M|25 a 29 años|25039|0|25039|5046|24852|209|50|0|0
